reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.09620630001882091,,0.0200771999952849,0.09620630001882091,1.0135175000177696,1.0135175000177696,1.0966523000097368,7.329203800007235,t,6.310806900000898,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
20,50,9,0,1,1,15,7.344807400018908,,7.329759300017031,7.344807400018908,8.34423550000065,8.34423550000065,8.34423550000065,13.276965500001097,l,4.930347699992126,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
27,50,21,0,2,2,2,13.293077400012407,,13.277350100019248,13.293077400012407,14.292259900015779,14.292259900015779,14.292259900015779,19.792452699999558,l,5.498799900000449,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
50,78,17,0,3,3,18,19.806845500017516,,19.79287530001602,19.806845500017516,20.80761360001634,20.80761360001634,20.80761360001634,25.80622910000966,l,4.984119300002931,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
22,59,67,0,4,4,19,25.82216470001731,,25.80661610001698,25.82216470001731,26.805444700003136,26.805444700003136,26.82209630002035,29.805102600017563,l,2.9892571000091266,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
29,50,114,0,5,5,8,29.82102259999374,,29.805500300019048,29.82102259999374,30.804472600022564,30.804472600022564,30.821554499998456,35.02055169999949,t,4.207733699993696,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
5,77,20,0,6,6,9,35.035521900019376,,35.021020500018494,35.035521900019376,36.035997900005896,36.035997900005896,36.035997900005896,39.969249999994645,l,3.9291373000014573,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
19,30,40,0,7,7,13,39.984070000005886,,39.96962440002244,39.984070000005886,40.98402630002238,40.98402630002238,40.98402630002238,48.832339700020384,l,7.836739199992735,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
40,59,125,0,8,8,12,48.84824870000011,,48.83272340000258,48.84824870000011,49.84862620002241,49.84862620002241,49.84862620002241,54.73699320000014,t,4.871393099980196,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
40,55,62,0,9,9,3,54.76341919999686,,54.738942099997075,54.76341919999686,55.74868520000018,55.74868520000018,55.765947700012475,59.00040390001959,t,3.2430217000073753,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
36,48,45,0,10,10,14,59.02869570002076,,59.00215340001159,59.02869570002076,60.012718200014206,60.012718200014206,60.02936270000646,65.53152899999986,t,5.503704100003233,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
15,43,89,0,11,11,7,65.55978979999782,,65.5336277000024,65.55978979999782,66.545418099995,66.545418099995,66.56242170001497,68.99678630000562,t,2.4465626000019256,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
67,75,119,0,12,12,5,69.02537790001952,,68.99833800000488,69.02537790001952,70.0254896999977,70.0254896999977,70.04514020000352,72.61250230000587,t,2.5833099000155926,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
40,68,6,0,13,13,16,72.64098769999691,,72.61399959999835,72.64098769999691,73.6268719000218,73.6268719000218,73.6436283000221,79.34436129999813,l,5.700595599977532,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
15,35,13,0,14,14,1,79.37209459999576,,79.34616750001442,79.37209459999576,80.35582590001286,80.35582590001286,80.37258359999396,82.69464520001202,l,2.3222491999913473,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
30,45,2,0,15,15,10,82.72127999999793,,82.69632690001163,82.72127999999793,83.70507160000852,83.70507160000852,83.72174350000569,87.74052240001038,l,4.023467000020901,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
33,50,90,0,16,16,17,87.76958960000775,,87.74205870000878,87.76958960000775,88.75524660001975,88.75524660001975,88.7717276000185,91.60613670002203,t,2.8439227000053506,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
9,56,30,0,17,17,11,91.63549300000886,,91.60776350001106,91.63549300000886,92.6205931000004,92.6205931000004,92.6378618000017,95.47306320001371,l,2.8369022000115365,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
11,30,7,0,18,18,0,95.50085979999858,,95.47509590000845,95.50085979999858,96.50045990000945,96.50045990000945,96.51993920002133,98.82182720000856,l,2.3117774999991525,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
49,60,89,0,19,19,4,98.84976430001552,,98.82354240000132,98.84976430001552,99.83542630000738,99.83542630000738,99.85180810000747,103.287719200016,t,3.445211999991443,None,2ri,001,2023-11-14_01h12.07.789,delaydiscounting,2023.2.3,59.877980649022916,2023-11-14 01h12.29.789828 +0530,
